pair_id,label,company,code,date,target,opinion,analyst,broker,acc365,gap_days,acc_diff,idx,title
67,lo,넷마블,251270,2024-05-10,75000,Buy,김소혜,한화투자증권,0.6867,0,0.303,630946,나혼렙 성공적 런칭 넷마블(251270) 나혼렙 성공적 런칭 1Q24 영업이익 컨센서스 상회
68,hi,LG에너지솔루션,373220,2025-04-08,450000,Buy,"정원석,손우성",iM증권,0.9022,2,0.299,640152,미국 관세 정책으로 인한 불확실성 확대 LG에너지솔루션(373220) 미국 관세 정책으로 인한 불확실성 확대 미국 관세 정책으로 인한 불확실성 
68,lo,LG에너지솔루션,373220,2025-04-10,295000,Hold,정경희,LS증권,0.6034,2,0.299,640218,1분기 호실적 vs Tesla 내재화율 증가 우려 LG에너지솔루션(373220) 1분기 호실적 vs Tesla 내재화율 증가 우려 1분기 호실적
69,hi,펄어비스,263750,2024-05-13,40000,Hold,정의훈,유진투자증권,0.8888,0,0.296,631031,"붉은사막, 게임스컴2024에 나온다 펄어비스(263750) 붉은사막, 게임스컴2024에 나온다 붉은사막, 게임스컴2024에 나온다"
69,lo,펄어비스,263750,2024-05-13,60000,매수,남효지,SK증권,0.5925,0,0.296,631067,의 커튼이 열린다 펄어비스(263750) 의 커튼이 열린다 의 커튼이 열린다
70,hi,엔씨소프트,036570,2024-02-13,220000,Hold,최승호,상상인증권,0.7914,0,0.294,628013,역설: 탈리니지와 리니지가 동시에 필요 엔씨소프트(036570) 역설: 탈리니지와 리니지가 동시에 필요 역설: 탈리니지와 리니지가 동시에 필요
70,lo,엔씨소프트,036570,2024-02-13,350000,Buy,"이효진,강하라",메리츠증권,0.4974,0,0.294,627969,배수진을 칠 때 엔씨소프트(036570) 배수진을 칠 때 배수진을 칠 때
71,hi,엔씨소프트,036570,2024-02-13,220000,Hold,이창영,유안타증권,0.7914,0,0.294,627992,변화가 필요한 시간 엔씨소프트(036570) 변화가 필요한 시간 변화가 필요한 시간
71,lo,엔씨소프트,036570,2024-02-13,350000,Buy,"이효진,강하라",메리츠증권,0.4974,0,0.294,627969,배수진을 칠 때 엔씨소프트(036570) 배수진을 칠 때 배수진을 칠 때
72,hi,엔씨소프트,036570,2024-02-13,220000,marketperform,이지은,대신증권,0.7914,0,0.294,627964,쉬어가는 2024년… 엔씨소프트(036570) 쉬어가는 2024년… 쉬어가는 2024년…
72,lo,엔씨소프트,036570,2024-02-13,350000,Buy,"이효진,강하라",메리츠증권,0.4974,0,0.294,627969,배수진을 칠 때 엔씨소프트(036570) 배수진을 칠 때 배수진을 칠 때
73,hi,카카오뱅크,323410,2024-05-08,23000,Hold,김도하,한화투자증권,0.9957,1,0.286,630831,"성장의 부가가치를 증명해야 할 때 카카오뱅크(323410) 성장의 부가가치를 증명해야 할 때 1Q24 당기순이익 1,112억원(+9% YoY),"
73,lo,카카오뱅크,323410,2024-05-09,32000,Buy,전배승,이베스트증권,0.7094,1,0.286,630901,대출성장률 전망 하향 카카오뱅크(323410) 대출성장률 전망 하향 대출성장률 전망 하향
74,hi,현대건설,000720,2024-10-23,50000,Buy,문경원,메리츠증권,0.858,0,0.285,635795,3Q24 Review: 좋은 날이 오려면 아직 기다림이 필요 현대건설(000720) 3Q24 Review: 좋은 날이 오려면 아직 기다림이 필요
74,lo,현대건설,000720,2024-10-23,40000,Buy,김세련,iM증권,0.5725,0,0.285,635770,3Q24 Review: 더뎌지는 체력개선 현대건설(000720) 3Q24 Review: 더뎌지는 체력개선 3Q24 Review: 더뎌지는 체력개
75,hi,GS리테일,007070,2025-05-12,18000,Buy,오린아,LS증권,0.575,0,0.285,640947,"1Q25 Review: 흔들린 실적, 일말의 희망 GS리테일(007070) 1Q25 Review: 흔들린 실적, 일말의 희망 1Q25 Revie"
75,lo,GS리테일,007070,2025-05-12,15000,Hold,이진협,한화투자증권,0.29,0,0.285,641029,1Q25 Review : 포트폴리오 재정비의 시간이 필요 GS리테일(007070) 1Q25 Review : 포트폴리오 재정비의 시간이 필요 1Q
76,hi,삼성중공업,010140,2025-02-06,22000,Buy,배기연,메리츠증권,0.75,0,0.278,638728,"4Q Review: 그럼에도 탑픽을 유지하는 이유, FLNG 삼성중공업(010140) 4Q Review: 그럼에도 탑픽을 유지하는 이유, FLN"
